re_type,adv_bed,adv_bath,adv_park,pool,balcony,leisure,secondfloor,adv_size,district,adv_sale
house,4.0,4.0,3.0,False,False,False,False,250.0,Capim Macio,350000
house,4.0,3.0,4.0,True,False,True,False,450.0,Capim Macio,500000
house,3.0,2.0,3.0,False,True,True,False,171.0,Ponta Negra,430000
house,3.0,1.0,2.0,False,False,False,False,240.0,Candelaria,350000
house,3.0,1.0,3.0,False,False,True,False,220.0,Lagoa Nova,380000
house,3.0,4.0,3.0,False,False,False,False,390.0,Lagoa Nova,450000
house,5.0,4.0,2.0,False,False,False,False,37087.0,Lagoa Nova,420000
house,3.0,2.0,1.0,False,False,False,False,75.0,Potengi,150000
house,3.0,3.0,2.0,False,False,True,False,153.0,Lagoa Nova,265000
house,4.0,3.0,4.0,False,False,True,False,300.0,Lagoa Nova,290000
house,2.0,2.0,2.0,False,False,False,False,75.0,Planalto,150000
house,3.0,3.0,1.0,False,False,False,False,105.0,Alecrim,350000
house,3.0,2.0,2.0,False,True,True,False,120.0,Ponta Negra,300000
house,6.0,6.0,2.0,True,False,True,False,460.0,Capim Macio,850000
house,3.0,3.0,4.0,False,False,True,False,222.0,Candelaria,409000
house,3.0,3.0,1.0,False,False,True,False,195.0,Alecrim,400000
house,2.0,1.0,4.0,False,False,True,False,85.0,Planalto,175000
house,3.0,4.0,4.0,False,False,False,False,170.0,Barro Vermelho,370000
house,2.0,2.0,3.0,False,False,True,False,200.0,Planalto,170000
house,4.0,3.0,3.0,False,False,True,False,230.0,Candelaria,350000
house,3.0,3.0,4.0,False,False,True,False,130.0,Ponta Negra,1300000
house,3.0,6.0,6.0,False,False,True,False,406.0,Lagoa Nova,950000
house,3.0,3.0,3.0,False,False,True,False,177.0,Lagoa Nova,350000
house,3.0,1.0,2.0,True,False,True,False,219.0,Neopolis,350000
house,3.0,4.0,2.0,False,False,False,False,187.0,Tirol,272000
house,3.0,1.0,1.0,False,False,True,False,70.0,Ponta Negra,289000
house,3.0,2.0,2.0,False,False,True,False,144.0,Ponta Negra,349000
house,4.0,5.0,4.0,True,True,True,False,450.0,Lagoa Nova,800000
house,3.0,4.0,2.0,False,False,False,False,200.0,Neopolis,500000
house,3.0,1.0,1.0,False,False,True,False,169.0,Cidade Alta,170000
house,3.0,4.0,4.0,False,False,True,False,240.0,Capim Macio,495000
house,3.0,1.0,1.0,False,False,True,False,85.0,Planalto,170000
house,4.0,4.0,4.0,False,False,True,False,300.0,de Nazare,350000
house,3.0,3.0,2.0,False,False,True,False,178.0,Candelaria,750000
house,3.0,2.0,1.0,False,False,True,False,109.0,Ponta Negra,280000
house,3.0,6.0,4.0,True,True,True,False,357.0,Capim Macio,440000
house,3.0,1.0,2.0,False,False,True,False,185.0,Lagoa Nova,400000
house,6.0,5.0,3.0,False,True,False,False,300.0,de Nazare,450000
house,3.0,1.0,1.0,False,True,False,False,119.0,Alecrim,230000
house,3.0,3.0,2.0,False,False,True,False,220.0,Candelaria,280000
house,3.0,1.0,2.0,False,False,False,False,85.0,Capim Macio,250000
house,3.0,1.0,3.0,False,False,True,False,130.0,Candelaria,300000
house,3.0,3.0,2.0,False,False,False,False,180.0,Ponta Negra,595000
house,3.0,1.0,1.0,False,False,True,False,100.0,Alecrim,220000
house,2.0,2.0,4.0,False,False,False,False,70.0,Pitimbu,55000
house,3.0,2.0,2.0,False,False,True,False,140.0,Candelaria,280000
house,2.0,2.0,1.0,True,False,True,False,68.0,Planalto,169900
house,4.0,5.0,3.0,False,True,False,False,263.0,Capim Macio,590000
house,3.0,5.0,2.0,False,False,True,False,188.0,Candelaria,480000
house,4.0,5.0,4.0,False,True,True,False,214.0,Capim Macio,750000
house,3.0,3.0,2.0,False,True,True,False,160.0,Lagoa Seca,650000
