adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Rua Desembargador Sinval Moreira Dias  1753 - Lagoa Nova  Natal - RN,R$ 2000000,NotFound,3,4,10,460, Espaco gourmet / Quintal / Ar-condicionado / Proximo a shopping / Salao de festas / Piscina / Perto de vias de acesso / Depï¿½sito / Churrasqueira / Mobiliado / Varanda / Jardim / Garagem / Lavanderia / Cozinha / Area de servico / Vista exterior / Piscina para adulto / Proximo a transporte pï¿½blico / Proximo a hospitais / Interfone ,Lagoa Nova,house
Rua Militï¿½o Chaves  1884 - Candelï¿½ria  Natal - RN,R$ 500000,NotFound,3,5,4,300, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Quintal / Varanda / Depï¿½sito / Garagem / Lavanderia / Cozinha / Area de servico / Vista exterior / Sistema de alarme / Interfone / Serviï¿½os pï¿½blicos essenciais ,Candelaria,house
Rua Josï¿½ do Patrocï¿½nio - Candelï¿½ria  Natal - RN,R$ 257000,NotFound,2,2,2,100, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Quintal / Garagem / Cozinha / Area de servico / Circuito de Seguranca ,Candelaria,house
Avenida Antï¿½nio Basï¿½lio  4385 - Nova Descoberta  Natal - RN,R$ 550000,NotFound,3,1,2,358, Ar-condicionado / Area de servico ,Nova Descoberta,house
Rua Missionï¿½rio Joel Carlson  1448 - Capim Macio  Natal - RN,R$ 849000,NotFound,3,6,6,582, Cozinha / Varanda / Churrasqueira / Proximo a shopping / Piscina / Varanda gourmet ,Capim Macio,house
Rua Senador Jessï¿½ Pinto Freire  13 - Lagoa Nova  Natal - RN,R$ 250000,NotFound,3,2,1,99, Cozinha / Area de servico ,Lagoa Nova,house
Avenida Engenheiro Roberto Freire - Ponta Negra  Natal - RN,R$ 350000,NotFound,4,3,3,200, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Conexï¿½o ï¿½ internet / Garagem / Area de servico / Sistema de alarme / Jardim ,Ponta Negra,house
Rua Josï¿½ Ferreira Sobrinho - Candelï¿½ria  Natal - RN,R$ 999000,NotFound,4,6,6,500, Quintal / Interfone / Jardim / Piscina / Depï¿½sito / Sistema de alarme / Varanda / Espaco gourmet / Mobiliado / Ar-condicionado / Churrasqueira / Perto de vias de acesso ,Candelaria,house
Avenida Engenheiro Roberto Freire  1 - Ponta Negra  Natal - RN,R$ 385000,NotFound,4,3,3,180, Circuito de Seguranca / Ar-condicionado / Quintal / Varanda / Garagem / Proximo a escola / Proximo a transporte pï¿½blico / Proximo a hospitais / Perto de vias de acesso / Proximo a shopping ,Ponta Negra,house
Rua Caetanï¿½polis - Neopolis  Natal - RN,R$ 280000,NotFound,4,4,4,280, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Quintal / Varanda / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Area de servico / Jardim ,Neopolis,house
Rua Alcione Dowsley  90 - Pajucara  Natal - RN,R$ 200000,NotFound,3,2,3,120, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Piscina / Espaco verde / Parque / Garagem / Lavanderia / Cozinha / Area de servico / Quintal / Sistema de alarme / Interfone ,Pajucara,house
Rua Tamboara  111 - Pitimbu  Natal - RN,R$ 340000,NotFound,2,2,6,160, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a hospitais / Churrasqueira / Quintal / Garagem / Lavanderia / Cozinha / Area de servico ,Pitimbu,house
Rua Cavalo Marinho  220 - Ponta Negra  Natal - RN,R$ 350000,NotFound,3,4,3,150, Garagem / Cozinha / Academia ,Ponta Negra,house
